"Observações"	"Grupos"	"Famílias"	"Taxon Rank"	"Espécies"	"Origem"	"Categoria de Ameaça IUCN"	"Campo Vazio"	"Identificador"	"CatalogNumber"	"OtherCatalogNumbers"	"Herbário"	"GBIF ID"	"Coletor"	"No. coleta"	"Ano de coleta"	"Mês"	"Dia"	"Determinador"	"Estado"	"Município"	"Localidade"	"Latitude"	"Longitude"	"Ocorre em SP segundo Flora 2020?"	"Endemica de SP segundo Flora 2020?"	"cont.spp"	"cont.id"	"Prioritarias_conservacao"	"concat.code"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Mutisia campanulata Less."	"NATIVA"	""	NA	"BRA:IF:SPSF:06154"	"06154"	""	"SPSF"	1086875804	"A.Custodio Filho & A.C.Dias"	"288"	1980	7	9	"M.Monge"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"1"	"1"	""	"198079288"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Lepidaploa eriolepis (Gardner) H.Rob."	"NATIVA"	""	NA	"BRA:IF:SPSF:06156"	"06156"	""	"SPSF"	1086875805	"A.Custodio Filho & A.C.Dias"	"250"	1980	10	8	"B.Puglia"	"Sp"	"Cunha"	"Parque Estadual da Serra do Mar, N<fa>cleo Cunha-Indai<e1>"	0	0	1	0	"2"	"1"	""	"1980108250"
""	"Angiopermas"	"Solanaceae"	"ESPECIE"	"Solanum pseudoquina A.St.-Hil."	"NATIVA"	""	NA	"BRA:IF:SPSF:06150"	"06150"	""	"SPSF"	1086875810	"A.Custodio Filho & A.C.Dias"	"260"	1980	7	7	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"16"	"1"	""	"198077260"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Melastomataceae"	"ESPECIE"	"Chaetogastra sebastianopolitana (Raddi) P.J.F.Guim. & Michelang."	""	""	NA	"BRA:IF:SPSF:06161"	"06161"	""	"SPSF"	1086875819	"A.Custodio Filho & A.C.Dias"	"286"	0	0	0	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	0	0	"2"	"1"	""	"000286"
""	"Angiopermas"	"Moraceae"	"ESPECIE"	"Ficus luschnathiana (Miq.) Miq."	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:06166"	"06166"	""	"SPSF"	1086875824	"A.Custodio Filho & A.C.Dias"	"252"	1980	7	7	"L.Mendon<e7>a-Souza"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"7"	"1"	""	"198077252"
""	"Angiopermas"	"Fabaceae"	"ESPECIE"	"Inga lenticellata Benth."	"NATIVA"	"VU"	NA	"BRA:IF:SPSF:06169"	"06169"	""	"SPSF"	1086875825	"A.Custodio Filho & A.C.Dias"	"0"	1980	7	8	""	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"1"	"1"	""	"1980780"
""	"Angiopermas"	"Melastomataceae"	"ESPECIE"	"Meriania claussenii (Naudin) Triana"	"NATIVA"	"LC"	NA	"BRA:IF:SPSF:06152"	"06152"	""	"SPSF"	1086875827	"A.Custodio Filho & A.C.Dias"	"267"	1980	7	9	"B.Chiavegatto"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"2"	"1"	""	"198079267"
""	"Angiopermas"	"Solanaceae"	"ESPECIE"	"Solanum mauritianum Scop."	"NATIVA"	""	NA	"BRA:IF:SPSF:06155"	"06155"	""	"SPSF"	1086875828	"A.Custodio Filho & A.C.Dias"	"253"	1980	7	12	"L.L.Giacomin"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"2"	"1"	""	"1980712253"
""	"Angiopermas"	"Primulaceae"	"ESPECIE"	"Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult."	"NATIVA"	""	NA	"BRA:IF:SPSF:06163"	"06163"	""	"SPSF"	1086875829	"A.Custodio Filho & A.C.Dias"	"264"	1980	7	12	"A.Maruyama"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"9"	"1"	""	"1980712264"
""	"Angiopermas"	"Fabaceae"	"ESPECIE"	"Mimosa scabrella Benth."	"NATIVA"	""	NA	"BRA:IF:SPSF:06162"	"06162"	""	"SPSF"	1086875831	"A.Custodio Filho & A.C.Dias"	"279"	1980	7	12	"A.P.Savassi-Coutinho"	"Sp"	"Cunha"	"P.E.Serra do Mar - N<fa>cleo Cunha"	0	0	1	0	"9"	"1"	""	"1980712279"
