"Observações"	"Grupos"	"Famílias"	"Taxon Rank"	"Espécies"	"Origem"	"Categoria de Ameaça IUCN"	"Campo Vazio"	"Identificador"	"CatalogNumber"	"OtherCatalogNumbers"	"Herbário"	"GBIF ID"	"Coletor"	"No. coleta"	"Ano de coleta"	"Mês"	"Dia"	"Determinador"	"Estado"	"Município"	"Localidade"	"Latitude"	"Longitude"	"Ocorre em SP segundo Flora 2020?"	"Endemica de SP segundo Flora 2020?"	"cont.spp"	"cont.id"	"Prioritarias_conservacao"	"concat.code"
""	"Angiopermas"	"Chloranthaceae"	"ESPECIE"	"Hedyosmum brasiliense Mart. ex Miq."	"NATIVA"	""	NA	"BRA:USP:SPF:133537"	"133537"	""	"SPF"	1213515394	"Pirani, JR"	"4436"	1998	9	20	"Pirani, JR"	"S<e3>o Paulo"	"S<e3>o Paulo"	"Parque Estadual da Serra do Mar, N<fa>cleo Curucutu"	-23.983333	-46.733333	1	0	"24"	"1"	""	"19989204436"
""	"Angiopermas"	"Chloranthaceae"	"ESPECIE"	"Hedyosmum brasiliense Mart. ex Miq."	"NATIVA"	""	NA	"BRA:USP:SPF:133538"	"133538"	""	"SPF"	1213515406	"Pirani, JR"	"4437"	1998	9	20	"Pirani, JR"	"S<e3>o Paulo"	"S<e3>o Paulo"	"Parque Estadual da Serra do Mar, N<fa>cleo Curucutu"	-23.983333	-46.733333	1	0	"24"	"1"	""	"19989204437"
""	"Angiopermas"	"Siparunaceae"	"ESPECIE"	"Siparuna brasiliensis (Spreng.) A.DC."	"NATIVA"	""	NA	"BRA:USP:SPF:144914"	"144914"	""	"SPF"	1213515563	"Lob<e3>o, AQ"	"508"	2001	1	19	"Lob<e3>o, AQ"	"S<e3>o Paulo"	"S<e3>o Lu<ed>s do Paraitinga"	"Parque Estadual da Serra do Mar, N<fa>cleo Santa Virginia. Trilha para a Cachoeira do Pito."	0	0	1	0	"25"	"1"	""	"2001119508"
""	"Angiopermas"	"Monimiaceae"	"ESPECIE"	"Mollinedia schottiana (Spreng.) Perkins"	"NATIVA"	"LC"	NA	"BRA:USP:SPF:144320"	"144320"	""	"SPF"	1213515565	"Fiaschi, P"	"551"	2001	1	19	"L<ed>rio, EJ"	"S<e3>o Paulo"	"S<e3>o Lu<ed>s do Paraitinga"	"Parque Estadual da Serra do Mar, N<fa>cleo Santa Virg<ed>nia. Trilha para a Cachoeira do Po<e7>o do Pito."	0	0	1	0	"22"	"1"	""	"2001119551"
""	"Angiopermas"	"Monimiaceae"	"ESPECIE"	"Mollinedia gilgiana Perkins"	"NATIVA"	"CR"	NA	"BRA:USP:SPF:144913"	"144913"	""	"SPF"	1213515611	"Lob<e3>o, AQ"	"508c"	2001	1	19	"L<ed>rio, EJ"	"S<e3>o Paulo"	"S<e3>o Lu<ed>s do Paraitinga"	"Parque Estadual da Serra do Mar, N<fa>cleo Santa Virginia."	0	0	1	0	"1"	"1"	""	"2001119508c"
""	"Angiopermas"	"Moraceae"	"ESPECIE"	"Dorstenia hirta Desv."	"NATIVA"	""	NA	"BRA:USP:SPF:150803"	"150803"	""	"SPF"	1213515664	"Cordeiro, I"	"2355"	2000	9	28	"Romaniuc Neto, S"	"S<e3>o Paulo"	"Caraguatatuba"	"Parque Estadual da Serra do Mar, N<fa>cleo Caraguatuba, trilha da Capta<e7><e3>o, mata ombr<f3>fila densa de encosta."	0	0	1	0	"2"	"2"	""	"20009282355"
""	"Angiopermas"	"Chloranthaceae"	"ESPECIE"	"Hedyosmum brasiliense Mart. ex Miq."	"NATIVA"	""	NA	"BRA:USP:SPF:150349"	"150349"	""	"SPF"	1213515669	"Cordeiro, I"	"2315"	2000	9	27	"Cordeiro, I"	"S<e3>o Paulo"	"Caraguatatuba"	"Parque Estadual da Serra do Mar, N<fa>cleo Caraguatatuba."	0	0	1	0	"24"	"2"	""	"20009272315"
""	"Angiopermas"	"Moraceae"	"ESPECIE"	"Dorstenia arifolia Lam."	"NATIVA"	""	NA	"BRA:USP:SPF:150802"	"150802"	""	"SPF"	1213515679	"Sim<e3>o-Bianchini, R"	"1448"	2000	9	9	"Romaniuc Neto, S"	"S<e3>o Paulo"	"Caraguatatuba"	"Parque Estadual da Serra do Mar, N<fa>cleo Caraguatatuba. Trilha da Por<e7><e3>o. Mata Ombr<f3>fila Densa."	0	0	1	0	"4"	"2"	""	"2000991448"
""	"Angiopermas"	"Monimiaceae"	"ESPECIE"	"Mollinedia schottiana (Spreng.) Perkins"	"NATIVA"	"LC"	NA	"BRA:USP:SPF:150799"	"150799"	""	"SPF"	1213515685	"Cordeiro, I"	"2353"	2000	9	28	"L<ed>rio, EJ"	"S<e3>o Paulo"	"Caraguatatuba"	"Parque Estadual da Serra do Mar, N<fa>cleo Caraguatatuba. Trilha da Capta<e7><e3>o."	0	0	1	0	"22"	"2"	""	"20009282353"
""	"Angiopermas"	"Monimiaceae"	"ESPECIE"	"Mollinedia schottiana (Spreng.) Perkins"	"NATIVA"	"LC"	NA	"BRA:USP:SPF:150800"	"150800"	""	"SPF"	1213515699	"Rossi, L"	"2161"	2000	9	20	"Sugiyama, M"	"S<e3>o Paulo"	"Caraguatatuba"	"Parque Estadual da Serra do Mar, N<fa>cleo Caraguatatuba, Trilha dos Tropeiros."	0	0	1	0	"22"	"2"	""	"20009202161"
""	"Angiopermas"	"Siparunaceae"	"ESPECIE"	"Siparuna brasiliensis (Spreng.) A.DC."	"NATIVA"	""	NA	"BRA:USP:SPF:150801"	"150801"	""	"SPF"	1213515711	"Sim<e3>o-Bianchini, R"	"1424"	2000	9	8	"Sugiyama, M"	"S<e3>o Paulo"	"Caraguatatuba"	"Parque Estadual da Serra do Mar, N<fa>cleo Caraguatatuba. Trilha da Mococa."	0	0	1	0	"25"	"2"	""	"2000981424"
""	"Angiopermas"	"Monimiaceae"	"ESPECIE"	"Mollinedia schottiana (Spreng.) Perkins"	"NATIVA"	"LC"	NA	"BRA:USP:SPF:175700"	"175700"	""	"SPF"	1213516032	"Fiaschi, P"	"3057"	2006	6	22	"L<ed>rio, EJ"	"S<e3>o Paulo"	"Cunha"	"Parque Estadual da Serra do Mar, N<fa>cleo Cunha - Indai<e1>. Trilha do Rio Bonito."	-23.236694	-45.020944	1	0	"22"	"1"	""	"20066223057"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Mikania sericea Hook. & Arn."	"NATIVA"	""	NA	"BRA:UCS:HUCS:43258"	"43258"	""	"HUCS"	1213528086	"Affonso, P."	"261"	1998	4	4	"Ritter, M.R."	"S<e3>o Paulo"	"S<e3>o Paulo"	"Parque Estadual da Serra do Mar N<fa>cleo Corucutu trilha do Embau-Gua<e7>u"	0	0	1	0	"1"	"1"	""	"199844261"
""	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Augusta longifolia (Spreng.) Rehder"	"NATIVA"	""	NA	"BRA:UNB:UB:107094"	"107094"	""	"UB"	1213563742	"N<f3>brega, MG"	"1722"	2002	9	21	"Ramos, DM"	"Goi<e1>s"	"Padre Bernardo"	"Morro da Luzia, Serra do Maranh<e3>o"	0	0	1	0	"1"	"1"	""	"20029211722"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrcia hartwegiana (O.Berg) Kiaersk."	""	""	NA	"BRA:UNB:UB:118654"	"118654"	""	"UB"	1213575298	"Bianchini, RS"	"917"	1996	1	18	"Jennings, L"	"S<e3>o Paulo"	"S<e3>o Paulo"	"Parque Estadual da Serra do Mar"	0	0	0	0	"9"	"1"	""	"1996118917"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Baccharis intermixta Gardner"	"NATIVA"	""	NA	"BRA:UNB:UB:122237"	"122237"	""	"UB"	1213578865	"Lindeman, JC"	"2551"	1966	9	27	"Heiden, G"	"Paran<e1>"	""	"Ca. 20km E de Curitiba, na estrada nova para Paranagu<e1> no come<e7>o da Serra do Mar"	0	0	1	0	"4"	"1"	""	"19669272551"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Exostigma rivulare (Gardner) G.Sancho"	""	""	NA	"BRA:UNB:UB:122259"	"122259"	""	"UB"	1213578870	"Lindeman, JC"	"5787"	1967	8	2	"Barroso, GM"	"Paran<e1>"	""	"Serra do Mar, topo do Pico de Garatuva"	0	0	0	0	"2"	"1"	""	"1967825787"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Heterocondylus alatus (Vell.) R.M.King & H.Rob."	"NATIVA"	""	NA	"BRA:UNB:UB:122674"	"122674"	""	"UB"	1213579302	"Kirizawa, M"	"1020"	1983	7	28	"Rivera, VL"	"S<e3>o Paulo"	"Mogi das Cruzes"	"Serra do Mar, Serra do Mar. Picada Mogi-Bertioga, parte elevada"	0	0	1	0	"4"	"1"	""	"19837281020"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Mikania trinervis Hook. & Arn."	"NATIVA"	""	NA	"BRA:UNB:UB:123111"	"123111"	""	"UB"	1213579745	"Kirizawa, M"	"1019"	1983	8	4	"Mantovani, W"	"S<e3>o Paulo"	"Mogi das Cruzes"	"Serra do Mar"	0	0	1	0	"11"	"1"	""	"1983841019"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Dasyphyllum brasiliense (Spreng.) Cabrera"	"NATIVA"	""	NA	"BRA:UNB:UB:123806"	"123806"	""	"UB"	1213580435	"Lindeman, JC"	"16228"	1967	3	30	"Robinson, H"	"Paran<e1>"	""	"Serra do Mar, above old road Curitiba-Morretes"	0	0	1	0	"2"	"1"	""	"196733016228"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Senecio icoglossus DC."	"NATIVA"	""	NA	"BRA:UNB:UB:124057"	"124057"	""	"UB"	1213580661	"Lindeman, JC"	"2593"	1966	9	27	"Barroso, GM"	"Paran<e1>"	""	"Curitiba-Morretes, lado W da Serra do Mar"	0	0	1	0	"1"	"1"	""	"19669272593"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Vernonanthura montevidensis (Spreng.) H.Rob."	"NATIVA"	""	NA	"BRA:UNB:UB:124910"	"124910"	""	"UB"	1213581492	"Leit<e3>o Filho, HF"	"530"	1968	9	26	""	"S<e3>o Paulo"	"S<e3>o Luiz do Paraitinga"	"Pr<f3>ximo a Serra do mar"	0	0	1	0	"3"	"1"	""	"1968926530"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Eugenia kleinii D.Legrand"	"NATIVA"	"LC"	NA	"BRA:UNB:UB:130435"	"130435"	""	"UB"	1213587084	"Aguiar, OT"	"319"	1989	7	19	"Aguiar, OT"	"S<e3>o Paulo"	"Cunha"	"Parque Estadual da Serra do Mar"	0	0	1	0	"5"	"2"	""	"1989719319"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Eugenia subavenia O.Berg"	"NATIVA"	"LC"	NA	"BRA:UNB:UB:130894"	"130894"	""	"UB"	1213587496	"Lindeman, JC"	"354"	1966	1	14	"Legrand, CMDE"	"Paran<e1>"	""	"Serra do Mar, Above Bella Vista at old road Curitiba-Morretes"	0	0	1	0	"6"	"1"	""	"1966114354"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Eugenia subavenia O.Berg"	"NATIVA"	"LC"	NA	"BRA:UNB:UB:130893"	"130893"	""	"UB"	1213587498	"Lindeman, JC"	"237"	1966	1	11	"Legrand, CMDE"	"Paran<e1>"	""	"Serra do Mar, Above Bella Vista at old road Curitiba-Morretes"	0	0	1	0	"6"	"1"	""	"1966111237"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrceugenia myrcioides (Cambess.) O.Berg"	"NATIVA"	""	NA	"BRA:UNB:UB:131423"	"131423"	""	"UB"	1213588006	"Lindeman, JC"	"283"	1966	1	8	"Soares-Silva, LH"	"Paran<e1>"	""	"Serra do Mar, Bela Vista on old road Curitiba-Morretes"	0	0	1	0	"8"	"1"	""	"196618283"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrcia pubipetala Miq."	"NATIVA"	""	NA	"BRA:UNB:UB:131997"	"131997"	""	"UB"	1213588597	"Lindeman, JC"	"277"	1966	1	8	"Legrand, CMDE"	"Paran<e1>"	""	"Serra do Mar, above Bela Vista on old road to Curitiba-Morretes"	0	0	1	0	"12"	"1"	""	"196618277"
""	"Angiopermas"	"Melastomataceae"	"ESPECIE"	"Miconia theaezans (Bonpl.) Cogn."	"NATIVA"	""	NA	"BRA:UNB:UB:134227"	"134227"	""	"UB"	1213590855	"Kuniyoshi, YS"	"3117"	1971	11	0	"Wurdack, JJ"	"Paran<e1>"	"Morretes"	"Serra do Mar. Esta<e7><e3>o Marumbi"	0	0	1	0	"18"	"2"	""	"19711103117"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Melastomataceae"	"ESPECIE"	"Pleroma hospitum (Schrank et Mart. ex DC.) Triana"	""	""	NA	"BRA:UNB:UB:134645"	"134645"	""	"UB"	1213591274	"Ribas, OS"	"946"	1996	1	10	"Hatschbach, G"	"Paran<e1>"	"Morretes"	"Serra do Marumbi, Pico Olimpo"	0	0	0	0	"1"	"1"	""	"1996110946"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrcia reticulata Cambess."	"NATIVA"	""	NA	"BRA:UNB:UB:139566"	"139566"	""	"UB"	1213596148	"Lucas, EJ; et al."	"457"	2006	11	18	"Rosa, PO"	"S<e3>o Paulo"	"Cunha"	"Estrada entre Cunha e o Parque Estadual da Serra do Mar N<fa>cleo Cunha, ca. de 2km do in<ed>cio da estrada"	-23.217778	-45.016111	1	0	"1"	"1"	""	"20061118457"
""	"Angiopermas"	"Fabaceae"	"ESPECIE"	"Dalbergia frutescens (Vell.) Britton"	"NATIVA"	""	NA	"BRA:UNB:UB:141557"	"141557"	""	"UB"	1213598135	"Bertoncini, AP"	"802"	1996	12	19	"Ivanauskas, NM"	"S<e3>o Paulo"	"Cunha"	"Parque Estadual da Serra do Mar"	-23.212222	-45.033611	1	0	"5"	"1"	""	"19961219802"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrcia hartwegiana (O.Berg) Kiaersk."	""	""	NA	"BRA:UNB:UB:142524"	"142524"	""	"UB"	1213599113	"Lucas, EJ; et al."	"461"	2006	11	18	""	"S<e3>o Paulo"	"Cunha"	"Entrada entre Cunha e o Parque Estadual da Serra do Mar N<fa>cleo Cunha, ca. 2km do in<ed>cio da estrada"	-23.217778	-45.016111	0	0	"9"	"1"	""	"20061118461"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Neomitranthes capivariensis (Mattos) Mattos"	"NATIVA"	""	NA	"BRA:UNB:UB:142851"	"142851"	""	"UB"	1213599428	"Lucas, EJ; et al."	"367"	2006	11	16	"Souza, MC"	"S<e3>o Paulo"	"Cunha"	"Parque Estadual da Serra do Mar, estrada municipal, ca. 4km da sede"	-23.275278	-45.052778	1	1	"1"	"1"	""	"20061116367"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrcia glomerata (Cambess.) G.P.Burton & E.Lucas"	""	"LC"	NA	"BRA:UNB:UB:142853"	"142853"	""	"UB"	1213599437	"Lucas, EJ; et al."	"467"	2006	11	18	"Louren<e7>o, AR"	"S<e3>o Paulo"	"Cunha"	"Estrada entre Cunha e o Parque Estadual da Serra do Mar. N<fa>cleo Cunha, ca. 2km do in<ed>cio da estrada"	-23.217778	-45.016111	0	0	"9"	"1"	""	"20061118467"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Psidium cattleyanum Sabine"	""	""	NA	"BRA:UNB:UB:144765"	"144765"	""	"UB"	1213601335	"Lucas, EJ; et al.;"	"375"	2006	11	16	"Proen<e7>a, CEB"	"S<e3>o Paulo"	"Cunha"	"Parque Estadual da Serra do Mar, trilha do Rio Bonito, pr<f3>ximo da sede."	0	0	0	0	"24"	"1"	""	"20061116375"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrceugenia campestris (DC.) D.Legrand & Kausel"	"NATIVA"	"VU"	NA	"BRA:UNB:UB:144764"	"144764"	""	"UB"	1213601336	"Lucas, EJ; et al.;"	"382"	2006	11	16	""	"S<e3>o Paulo"	"Cunha"	"Parque Estadual da Serra do Mar, trilha do Rio Bonito, pr<f3>ximo da sede."	0	0	1	0	"6"	"1"	""	"20061116382"
""	"Angiopermas"	"Cucurbitaceae"	"ESPECIE"	"Cayaponia cabocla (Vell.) Mart."	"NATIVA"	""	NA	"BRA:UNB:UB:149249"	"149249"	""	"UB"	1213605785	"Ribas, OS"	"4260"	2002	1	29	"Gomes-Klein, VL"	"Paran<e1>"	"S<e3>o Jos<e9> dos Pinhais"	"Lavrinha. Floresta atl<e2>ntica da Serra do Mar."	0	0	1	0	"1"	"1"	""	"20021294260"
""	"Angiopermas"	"Melastomataceae"	"ESPECIE"	"Leandra regnellii (Triana) Cogn."	"NATIVA"	""	NA	"BRA:UNB:UB:149567"	"149567"	""	"UB"	1213606128	"Kuniyoshi, YS"	"3106"	1971	10	0	"Wurdack, JJ"	"Paran<e1>"	"Morretes"	"Serra do Mar, Esta<e7><e3>o Marumbi."	0	0	1	0	"2"	"1"	""	"19711003106"
""	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Psychotria leiocarpa Cham. & Schltdl."	"NATIVA"	""	NA	"BRA:UNB:UB:155079"	"155079"	""	"UB"	1213611587	"Lindeman, JC; Haas, JH"	"167"	1965	1	6	"Delprete, PG"	"Paran<e1>"	""	"Serra do Mar above Bela Vista at old road Curitiba - Morretes."	0	0	1	0	"11"	"1"	""	"196516167"
""	"Angiopermas"	"Piperaceae"	"ESPECIE"	"Piper permucronatum Yunck."	"NATIVA"	""	NA	"BRA:UNB:UB:156757"	"156757"	""	"UB"	1213613305	"Gottsberger, GK"	"12-12477"	1977	4	12	"Carvalho-Silva, M"	"S<e3>o Paulo"	"Ubatuba"	"Serra do Mar, in the surroundings"	0	0	1	0	"6"	"1"	""	"197741212-12477"
""	"Angiopermas"	"Winteraceae"	"ESPECIE"	"Drimys brasiliensis Miers"	"NATIVA"	""	NA	"BRA:UNB:UB:164256"	"164256"	""	"UB"	1213620772	"Pastore, JA; Arzolla, FARDP; Paula, GCR"	"1365"	2006	6	6	"Arzolla, FARDP"	"S<e3>o Paulo"	"S<e3>o Bernardo do Campo"	"Parque Estadual da Serra do Mar. Caminho da mar, margem da estrada."	0	0	1	0	"20"	"2"	""	"2006661365"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Cyperaceae"	"ESPECIE"	"Rhynchospora panicoides Schrad. ex Nees"	""	""	NA	"BRA:UNB:UB:164574"	"164574"	""	"UB"	1213621070	"Brade, AC"	"14946"	1935	6	29	"Alves, M"	"Rio de Janeiro"	"Angra dos Reis"	"Serra do Mar, Jussarel"	-23.01	-44.32	0	0	"2"	"1"	""	"193562914946"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Cyperaceae"	"ESPECIE"	"Rhynchospora gaudichaudii (Brongn.) L.B.Sm."	""	""	NA	"BRA:UNB:UB:164572"	"164572"	""	"UB"	1213621079	"Brade, AC"	"14947"	1935	6	29	"Gross, R; Berlim"	"Rio de Janeiro"	"Angra dos Reis"	"Serra do Mar"	-23.01	-44.32	0	0	"1"	"1"	""	"193562914947"
""	"Angiopermas"	"Sapindaceae"	"ESPECIE"	"Paullinia seminuda Radlk."	"NATIVA"	""	NA	"BRA:UNB:UB:165789"	"165789"	""	"UB"	1213622289	"Davis, PH; Shepherd, GJ; Makino, H; Silvestre, MS; Jung, SL"	"59806"	1976	8	21	"Medeiros, H"	"S<e3>o Paulo"	""	"Serra do Mar above Ubatuba."	0	0	1	0	"2"	"1"	""	"197682159806"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrciaria floribunda (H.West ex Willd.) O.Berg"	"NATIVA"	"LC"	NA	"BRA:UNB:UB:168243"	"168243"	""	"UB"	1213624746	"Pirani, JR"	"756"	1983	7	26	""	"S<e3>o Paulo"	"S<e3>o Sebasti<e3>o"	"Serra do mar"	-23.8	-45.433333	1	0	"1"	"1"	""	"1983726756"
""	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrcia splendens (Sw.) DC."	"NATIVA"	"LC"	NA	"BRA:UNB:UB:168933"	"168933"	""	"UB"	1213625415	"Lucas, EJ; Mazine-Capelo, FF; Brummitt, NA; Caliari, CP; Flores, TB; Jennings, LVS; Souza"	"307"	2006	11	15	""	"S<e3>o Paulo"	"Cunha"	"Parque Estadual da Serra do Mar, n<fa>cleo Cunha."	-23.243889	-45.233333	1	0	"17"	"1"	""	"20061115307"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrcia hebepetala DC."	""	""	NA	"BRA:UNB:UB:168893"	"168893"	""	"UB"	1213625424	"Lucas, EJ; Mazine-Capelo, FF; Brummitt, NA; Caliari, CP; Flores, TB; Jennings, LVS; Souza"	"294"	2006	11	15	""	"S<e3>o Paulo"	"Cunha"	"Parque Estadual da Serra do Mar, n<fa>cleo Cunha."	-23.240556	-45.230556	0	0	"2"	"2"	""	"20061115294"
""	"Angiopermas"	"Piperaceae"	"ESPECIE"	"Piper gaudichaudianum Kunth"	"NATIVA"	""	NA	"BRA:UNB:UB:169918"	"169918"	""	"UB"	1213626425	"Louren<e7>o, JLM; Pinheiro, EML; Grasser, GA; Chaves, BE; Mendes, VC"	"15"	2011	2	14	"Louren<e7>o, JLM"	"Goi<e1>s"	"Alto Para<ed>so de Goi<e1>s"	"Cap<e3>o de Mata situado atr<e1>s de forma<e7><e3>o rochosa perto da Fazenda Serra do Mar"	-13.946694	-47.134056	1	0	"3"	"1"	""	"201121415"
""	"Angiopermas"	"Piperaceae"	"ESPECIE"	"Piper crassinervium Kunth"	"NATIVA"	"LC"	NA	"BRA:UNB:UB:169920"	"169920"	""	"UB"	1213626431	"Louren<e7>o, JLM; Pinheiro, EML; Grasser, GA; Chaves, BE; Mendes, VC"	"19"	2011	2	14	"Louren<e7>o, JLM"	"Goi<e1>s"	"Alto Para<ed>so de Goi<e1>s"	"Cap<e3>o de Mata situado atr<e1>s de forma<e7><e3>o rochosa perto da Fazenda Serra do Mar"	-13.946694	-47.134056	1	0	"1"	"1"	""	"201121419"
""	"Angiopermas"	"Piperaceae"	"ESPECIE"	"Peperomia loxensis Kunth"	"NATIVA"	""	NA	"BRA:UNB:UB:169919"	"169919"	""	"UB"	1213626443	"Louren<e7>o, JLM; Pinheiro, EML; Grasser, GA; Chaves, BE; Mendes, VC"	"18"	2011	2	14	"Louren<e7>o, JLM"	"Goi<e1>s"	"Alto Para<ed>so de Goi<e1>s"	"Cap<e3>o de Mata situado atr<e1>s de forma<e7><e3>o rochosa perto da Fazenda Serra do Mar"	-13.946694	-47.134056	1	0	"1"	"1"	""	"201121418"
""	"Angiopermas"	"Piperaceae"	"ESPECIE"	"Piper aduncum L."	"NATIVA"	"LC"	NA	"BRA:UNB:UB:174559"	"174559"	""	"UB"	1213631066	"Pastore, JA; Rocha, FT; Baitello, JB"	"832"	1998	12	15	"Pastore, JA"	"S<e3>o Paulo"	"Ilhabela"	"Parque Estadual da Serra do Mar, cachoeira dos Tr<ea>s Tombom, regi<e3>o do primeiro tombo."	0	0	1	0	"3"	"1"	""	"19981215832"
""	"Angiopermas"	"Rubiaceae"	"ESPECIE"	"Emmeorhiza umbellata (Spreng.) K.Schum."	"NATIVA"	""	NA	"BRA:UNB:UB:176285"	"176285"	""	"UB"	1213632791	"Lindeman, JC; Haas, JH"	"5114"	1967	3	30	"Delprete, PG"	"Paran<e1>"	""	"Serra do Mar, above old Curitiba - Morretes, granite flat at upper Rio do Corvo"	0	0	1	0	"7"	"1"	""	"19673305114"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Melastomataceae"	"ESPECIE"	"Pleroma semidecandrum (Schrank et Mart. ex DC.) Triana"	""	""	NA	"BRA:UNB:UB:182420"	"182420"	""	"UB"	1213638902	"Baitello, JB"	"255"	1988	3	1	"Meyer, FS"	"S<e3>o Paulo"	"Cunha"	"Parque Estadual da Serra do Mar, <e0>s margens do rio Paraibuna"	0	0	0	0	"1"	"2"	""	"198831255"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Myrtaceae"	"ESPECIE"	"Myrcia glomerata (Cambess.) G.P.Burton & E.Lucas"	""	""	NA	"BRA:UNB:UB:186284"	"186284"	""	"UB"	1213642752	"Pedroni, F; Sanchez, M"	"856"	1996	11	26	"Sanchez, M"	"S<e3>o Paulo"	"Ubatuba"	"Parque Estadual da Serra do Mar, N<fa>cleo Picinguaba."	0	0	0	0	"9"	"1"	""	"19961126856"
""	"Angiopermas"	"Lauraceae"	"ESPECIE"	"Persea obovata Nees & Mart."	"NATIVA"	""	NA	"BRA:UNB:UB:186280"	"186280"	""	"UB"	1213642770	"Baitello, JB; Moraes, PLR; Rohwer, JG"	"2563"	2011	9	17	"Baitello, JB"	"S<e3>o Paulo"	"S<e3>o Paulo"	"Parque Estadual da Serra do Mar, N<fa>cleo Carucutu, ao lado da Sede."	0	0	1	1	"9"	"2"	""	"20119172563"
""	"Angiopermas"	"Asteraceae"	"ESPECIE"	"Stifftia fruticosa (Vell.) D.J.N.Hind & Semir"	"NATIVA"	""	NA	"BRA:UNB:UB:186285"	"186285"	""	"UB"	1213642781	"Baitello, JB; Aguiar, OT"	"888"	2000	5	25	"Semir, J"	"S<e3>o Paulo"	"Ilhabela"	"Parque Estadual da Serra do Mar, estrada para Castelhanos, na mata."	0	0	1	0	"3"	"1"	""	"2000525888"
""	"Angiopermas"	"Sapotaceae"	"ESPECIE"	"Chrysophyllum inornatum Mart."	"NATIVA"	""	NA	"BRA:UNB:UB:186253"	"186253"	""	"UB"	1213642788	"Ivanauskas, NM; Souza, FM; Filho, RC; Ara<fa>jo, CO; et al."	"6034"	2005	2	19	"Filho, RC"	"S<e3>o Paulo"	"Caraguatatuba"	"Parque Estadual da Serra do Mar - N<fa>cleo Caraguatatuba, Sert<e3>o da Praia da Mococa, H<ed>pica Gaivotas, Trilha da Mococa. (SAD69, Zona 23)."	-23.561667	-45.303333	1	0	"6"	"2"	""	"20052196034"
""	"Angiopermas"	"Lauraceae"	"ESPECIE"	"Endlicheria paniculata (Spreng.) J.F.Macbr."	"NATIVA"	"LC"	NA	"BRA:UNB:UB:189867"	"189867"	""	"UB"	1213646348	"Lindeman, JC; Haas, JH"	"326"	1966	1	14	"Lindeman, JC"	"Paran<e1>"	"Morretes"	"Serra do Mar; rainforest on Atlantic slope above Bela Vista, old road from Curitiba to Morretes."	0	0	1	0	"35"	"1"	""	"1966114326"
